Cities,Cause_category,Cause_Subcategory,Outcome_of_incident,Count,Age
Delhi,Traffic Control,Others,Total Injured,2289,61
Delhi,Traffic Control,Others,Total number of Accidents,2463,20
Delhi,Traffic Control,Police Controlled,Greviously Injured,5,81
Delhi,Traffic Control,Police Controlled,Minor Injury,42,69
Delhi,Traffic Control,Police Controlled,Persons Killed,20,42
Delhi,Traffic Control,Police Controlled,Total Injured,47,48
Delhi,Traffic Control,Police Controlled,Total number of Accidents,62,61
Delhi,Traffic Control,Stop Sign,Greviously Injured,8,52
Delhi,Traffic Control,Stop Sign,Minor Injury,110,15
Delhi,Traffic Control,Stop Sign,Persons Killed,37,71
Delhi,Traffic Control,Stop Sign,Total Injured,118,28
Delhi,Traffic Control,Stop Sign,Total number of Accidents,140,26
Delhi,Traffic Control,Traffic Light Signal,Greviously Injured,39,51
Delhi,Traffic Control,Traffic Light Signal,Minor Injury,300,24
Delhi,Traffic Control,Traffic Light Signal,Persons Killed,98,24
Delhi,Traffic Control,Traffic Light Signal,Total Injured,339,13
Delhi,Traffic Control,Traffic Light Signal,Total number of Accidents,401,45
Delhi,Traffic Control,Uncontrolled,Greviously Injured,45,29
Delhi,Traffic Control,Uncontrolled,Minor Injury,684,83
Delhi,Traffic Control,Uncontrolled,Persons Killed,306,29
Delhi,Traffic Control,Uncontrolled,Total Injured,729,53
Delhi,Traffic Control,Uncontrolled,Total number of Accidents,941,30
Dhanbad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4,40
Dhanbad,Traffic Control,Flashing Signal/Blinker,Minor Injury,2,22
Dhanbad,Traffic Control,Flashing Signal/Blinker,Persons Killed,11,41
Dhanbad,Traffic Control,Flashing Signal/Blinker,Total Injured,6,67
Dhanbad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,14,12
Dhanbad,Traffic Control,Others,Greviously Injured,0,23
Dhanbad,Traffic Control,Others,Minor Injury,0,13
Dhanbad,Traffic Control,Others,Persons Killed,0,55
Dhanbad,Traffic Control,Others,Total Injured,0,42
Dhanbad,Traffic Control,Others,Total number of Accidents,0,24
Dhanbad,Traffic Control,Police Controlled,Greviously Injured,15,81
Dhanbad,Traffic Control,Police Controlled,Minor Injury,9,28
Dhanbad,Traffic Control,Police Controlled,Persons Killed,32,85
Dhanbad,Traffic Control,Police Controlled,Total Injured,24,43
Dhanbad,Traffic Control,Police Controlled,Total number of Accidents,47,61
Dhanbad,Traffic Control,Stop Sign,Greviously Injured,5,55
Dhanbad,Traffic Control,Stop Sign,Minor Injury,2,82
Dhanbad,Traffic Control,Stop Sign,Persons Killed,9,59
Dhanbad,Traffic Control,Stop Sign,Total Injured,7,35
Dhanbad,Traffic Control,Stop Sign,Total number of Accidents,12,48
Dhanbad,Traffic Control,Traffic Light Signal,Greviously Injured,35,77
Dhanbad,Traffic Control,Traffic Light Signal,Minor Injury,12,74
Dhanbad,Traffic Control,Traffic Light Signal,Persons Killed,18,33
Dhanbad,Traffic Control,Traffic Light Signal,Total Injured,47,49
Dhanbad,Traffic Control,Traffic Light Signal,Total number of Accidents,69,49
Dhanbad,Traffic Control,Uncontrolled,Greviously Injured,13,61
Dhanbad,Traffic Control,Uncontrolled,Minor Injury,1,35
Dhanbad,Traffic Control,Uncontrolled,Persons Killed,13,11
Dhanbad,Traffic Control,Uncontrolled,Total Injured,14,63
Dhanbad,Traffic Control,Uncontrolled,Total number of Accidents,22,61
Faridabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,2,18
Faridabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,6,25
Faridabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,3,48
Faridabad,Traffic Control,Flashing Signal/Blinker,Total Injured,8,27
Faridabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,9,81
Faridabad,Traffic Control,Others,Greviously Injured,57,56
Faridabad,Traffic Control,Others,Minor Injury,305,34
Faridabad,Traffic Control,Others,Persons Killed,160,72
Faridabad,Traffic Control,Others,Total Injured,362,52
Faridabad,Traffic Control,Others,Total number of Accidents,418,37
Faridabad,Traffic Control,Police Controlled,Greviously Injured,0,17
Faridabad,Traffic Control,Police Controlled,Minor Injury,0,21
Faridabad,Traffic Control,Police Controlled,Persons Killed,0,24
Faridabad,Traffic Control,Police Controlled,Total Injured,0,12
Faridabad,Traffic Control,Police Controlled,Total number of Accidents,0,27
Faridabad,Traffic Control,Stop Sign,Greviously Injured,1,69
Faridabad,Traffic Control,Stop Sign,Minor Injury,3,25
Faridabad,Traffic Control,Stop Sign,Persons Killed,1,77
Faridabad,Traffic Control,Stop Sign,Total Injured,4,51
Faridabad,Traffic Control,Stop Sign,Total number of Accidents,4,86
Faridabad,Traffic Control,Traffic Light Signal,Greviously Injured,1,11
Faridabad,Traffic Control,Traffic Light Signal,Minor Injury,3,87
Faridabad,Traffic Control,Traffic Light Signal,Persons Killed,3,42
